 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.46,1.95,0.0,0.0,0.0
1,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.63,1.9,0.0,0.0,0.01
1,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.81,1.86,0.0,0.0,0.04
1,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.81,1.72,0.0,0.0,0.11
1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.89,1.73,0.0,0.0,0.22
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.89,1.73,0.0,0.0,0.23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.94,1.75,0.0,0.0,0.23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.86,1.84,0.0,0.0,0.12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.83,1.91,0.0,0.0,0.08
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.7,1.97,0.0,0.0,0.02
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.03,0.73,1.93,0.0,0.0,0.02
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.53,1.88,0.0,0.0,0.12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.46,1.82,0.0,0.0,0.25
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.8,0.0,0.0,0.43
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.71,0.0,0.0,0.42
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.72,0.0,0.0,0.33
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.73,0.0,0.0,0.22
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.81,0.0,0.0,0.2
1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.86,0.0,0.0,0.16
1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.92,0.0,0.0,0.17
1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.95,0.0,0.0,0.18
1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.92,0.0,0.0,0.25
1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.89,0.0,0.0,0.28
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.72,0.0,0.0,0.29
1,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,1.66,0.0,0.0,0.33
1,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,1.61,0.0,0.0,0.42
1,0.14,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,1.74,0.0,0.0,0.52
1,0.18,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.77,0.0,0.0,0.54
1,0.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.72,0.0,0.0,0.47
1,0.21,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.74,0.0,0.0,0.47
1,0.18,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.81,0.0,0.0,0.54
