 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.06,0.73,0.4,0.3,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.06,0.87,0.5,0.38,0.0,0.0,0.03
1,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.05,1.0,0.57,0.37,0.0,0.0,0.05
1,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.05,0.93,0.54,0.39,0.0,0.0,0.05
1,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.83,0.37,0.36,0.0,0.0,0.01
1,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.75,0.26,0.34,0.0,0.0,0.03
1,0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.06,0.77,0.21,0.35,0.0,0.0,0.03
1,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.82,0.22,0.38,0.0,0.0,0.06
1,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.87,0.22,0.41,0.0,0.0,0.16
1,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.87,0.28,0.46,0.0,0.0,0.26
1,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.9,0.36,0.43,0.0,0.0,0.31
1,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.73,0.25,0.47,0.0,0.05,0.28
1,0.09,0.0,0.0,0.0,0.0,0.1,0.02,0.05,0.69,0.17,0.53,0.0,0.05,0.24
1,0.09,0.0,0.0,0.03,0.0,0.08,0.02,0.02,0.65,0.09,0.63,0.0,0.05,0.21
1,0.0,0.0,0.0,0.03,0.0,0.07,0.02,0.03,0.75,0.13,0.6,0.0,0.0,0.23
1,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.05,0.75,0.09,0.54,0.0,0.0,0.26
1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.78,0.11,0.43,0.0,0.0,0.32
1,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.13,0.84,0.07,0.35,0.0,0.0,0.37
1,0.02,0.0,0.0,0.02,0.0,0.05,0.0,0.16,0.98,0.17,0.17,0.0,0.0,0.53
1,0.15,0.0,0.0,0.02,0.0,0.01,0.0,0.22,1.07,0.16,0.16,0.0,0.15,0.72
1,0.26,0.12,0.0,0.0,0.0,0.0,0.05,0.21,1.11,0.16,0.32,0.0,0.3,0.89
1,0.36,0.22,0.0,0.01,0.0,0.0,0.05,0.21,1.07,0.14,0.43,0.0,0.55,0.93
1,0.31,0.33,0.0,0.01,0.0,0.0,0.05,0.14,0.94,0.25,0.52,0.0,0.53,0.81
1,0.2,0.21,0.0,0.01,0.0,0.06,0.0,0.1,0.56,0.36,0.47,0.0,0.59,0.7
1,0.08,0.11,0.0,0.0,0.0,0.06,0.0,0.07,0.34,0.4,0.44,0.0,0.42,0.46
1,0.0,0.0,0.0,0.01,0.0,0.11,0.0,0.04,0.18,0.34,0.43,0.0,0.28,0.39
