 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.05,1.33,1.41,0.0,0.0,0.0
1,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.08,0.21,1.32,1.85,0.0,0.0,0.0
1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.24,2.14,0.0,0.01,0.0
1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.12,0.58,1.05,2.11,0.0,0.01,0.0
1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.62,0.97,1.98,0.0,0.01,0.0
1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.12,0.67,1.06,1.7,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.64,1.06,1.53,0.0,0.0,0.0
1,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.09,0.67,1.0,1.42,0.0,0.0,0.0
1,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.05,0.72,0.77,1.47,0.0,0.0,0.0
1,0.02,0.7,0.0,0.0,0.0,0.0,0.0,0.02,0.74,0.58,1.4,0.0,0.05,0.0
1,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.02,0.61,0.53,1.29,0.0,0.05,0.18
1,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.3,1.05,0.0,0.22,0.18
1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.14,1.0,0.0,0.34,0.21
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.94,0.0,0.49,0.03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.89,0.07,0.4,0.03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.79,0.07,0.33,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.73,0.07,0.24,0.02
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.68,0.0,0.24,0.02
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.62,0.0,0.19,0.09
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.54,0.0,0.22,0.08
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.49,0.0,0.23,0.07
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.5,0.0,0.18,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.54,0.0,0.09,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.59,0.01,0.1,0.16
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.72,0.01,0.13,0.33
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.01,0.23,0.57
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.18,0.22,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.75,0.3,0.19,0.62
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.74,0.3,0.2,0.6
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.72,0.26,0.17,0.52
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.79,0.27,0.17,0.41
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.75,0.27,0.25,0.24
1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.15,0.71,0.16,0.23,0.3
1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.76,0.13,0.35,0.18
1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.08,0.8,0.2,0.23,0.29
1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.86,0.17,0.23,0.23
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.87,0.07,0.1,0.17
1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.38,0.0,0.87,0.0,0.04,0.0
1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.35,0.0,0.81,0.03,0.0,0.0
1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.34,0.0,0.86,0.03,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.78,0.04,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.92,0.01,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.85,0.01,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.95,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1.04,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,1.04,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.99,0.0,0.1,0.22
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.91,0.0,0.24,0.43
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.83,0.0,0.36,0.59
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.85,0.0,0.39,0.55
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.86,0.0,0.42,0.47
1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.27,0.0,0.83,0.0,0.49,0.44
1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,0.0,0.82,0.0,0.57,0.34
1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.28,0.0,0.94,0.0,0.55,0.42
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.96,0.0,0.62,0.54
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.03,0.0,0.63,0.69
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.05,0.0,0.62,0.79
1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.11,0.0,0.5,0.84
1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.89,0.28,0.62,0.81
1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.62,0.74,0.77,0.73
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.5,1.03,0.93,0.74
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.51,1.13,0.9,0.76
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.64,0.72,1.13,0.76
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.68,0.78,1.4,0.64
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.73,0.66,1.64,0.75
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.69,0.89,1.57,0.67
