 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.31,0.0,0.0,0.0,0.0,0.43,0.31,1.17,0.0,0.24,0.0,0.0,0.0
1,0.0,0.41,0.0,0.0,0.0,0.0,0.16,0.4,1.4,0.0,0.33,0.0,0.0,0.0
1,0.01,0.61,0.0,0.0,0.0,0.0,0.02,0.43,1.43,0.0,0.43,0.0,0.0,0.0
1,0.01,0.53,0.0,0.0,0.0,0.0,0.0,0.33,1.31,0.0,0.34,0.0,0.0,0.0
1,0.01,0.52,0.0,0.0,0.0,0.0,0.0,0.26,1.17,0.04,0.33,0.0,0.0,0.0
1,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.17,1.09,0.05,0.24,0.0,0.0,0.0
1,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.2,1.08,0.08,0.29,0.0,0.0,0.0
1,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.23,1.03,0.04,0.31,0.0,0.0,0.0
1,0.0,0.38,0.0,0.0,0.0,0.08,0.0,0.27,1.18,0.1,0.34,0.0,0.0,0.0
1,0.0,0.42,0.0,0.0,0.0,0.15,0.0,0.33,1.41,0.06,0.41,0.0,0.0,0.0
1,0.0,0.34,0.0,0.0,0.0,0.15,0.0,0.37,1.63,0.12,0.49,0.0,0.0,0.0
1,0.0,0.2,0.0,0.0,0.0,0.07,0.0,0.28,1.6,0.05,0.43,0.0,0.02,0.0
1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,1.35,0.05,0.26,0.0,0.02,0.02
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.21,0.0,0.02,0.02
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.31,0.0,0.0,0.02
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.37,0.0,0.0,0.0
1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.36,0.03,0.0,0.01
1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.34,0.03,0.0,0.01
1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.35,0.03,0.0,0.01
1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.23,0.0,0.34,0.0,0.0,0.0
1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.31,0.0,0.21,0.02,0.0,0.0
1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.29,0.0,0.15,0.07,0.0,0.0
1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,1.12,0.0,0.09,0.07,0.0,0.04
1,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.03,1.04,0.0,0.28,0.05,0.08,0.27
1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.95,0.0,0.43,0.0,0.08,0.42
1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.61,0.0,0.08,0.38
1,0.2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.63,0.0,0.67,0.0,0.0,0.27
1,0.15,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.54,0.0,0.8,0.04,0.0,0.27
1,0.21,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.57,0.0,0.72,0.04,0.0,0.4
1,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.59,0.0,0.53,0.04,0.0,0.49
1,0.08,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.73,0.0,0.44,0.0,0.0,0.48
1,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.73,0.0,0.43,0.05,0.0,0.48
1,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.76,0.0,0.56,0.05,0.0,0.4
1,0.11,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.66,0.0,0.6,0.08,0.0,0.35
1,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.63,0.0,0.58,0.04,0.05,0.34
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.77,0.07,0.08,0.22
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.87,0.03,0.08,0.13
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,1.2,0.1,0.02,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.29,0.06,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.43,0.15,0.0,0.0
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,1.45,0.18,0.0,0.0
1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,1.54,0.25,0.0,0.07
1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,1.66,0.32,0.0,0.07
1,0.2,0.07,0.0,0.04,0.0,0.0,0.0,0.0,1.1,0.0,1.58,0.26,0.0,0.07
1,0.32,0.27,0.0,0.12,0.0,0.0,0.0,0.0,1.04,0.0,1.6,0.35,0.0,0.0
1,0.63,0.68,0.05,0.12,0.0,0.0,0.0,0.01,0.99,0.0,1.61,0.4,0.05,0.0
1,0.98,1.07,0.05,0.08,0.0,0.0,0.0,0.01,0.79,0.0,1.75,0.56,0.16,0.11
1,1.07,0.98,0.05,0.0,0.0,0.0,0.0,0.01,0.73,0.0,1.66,0.53,0.25,0.16
1,0.68,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.68,0.36,0.2,0.31
1,0.24,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.72,0.23,0.1,0.4
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,1.81,0.23,0.01,0.43
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.86,0.36,0.01,0.45
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,1.98,0.4,0.0,0.46
1,0.51,0.46,0.0,0.0,0.0,0.0,0.03,0.02,0.81,0.0,2.19,0.38,0.0,0.44
1,1.04,0.63,0.0,0.0,0.0,0.0,0.03,0.02,0.91,0.06,2.17,0.27,0.02,0.5
1,1.62,0.84,0.0,0.0,0.0,0.0,0.03,0.02,1.05,0.06,2.08,0.21,0.06,0.47
1,1.52,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.06,1.86,0.14,0.15,0.58
1,0.98,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,1.65,0.13,0.36,0.53
1,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,1.69,0.17,0.48,0.62
1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.65,0.0,1.57,0.14,0.86,0.73
1,0.48,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.44,0.01,1.68,0.09,1.15,0.78
1,0.62,0.01,0.0,0.0,0.0,0.0,0.0,0.25,0.29,0.02,1.63,0.0,1.61,0.92
1,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.38,0.4,0.02,1.74,0.0,1.71,1.08
1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.29,0.02,1.7,0.06,1.72,1.3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.33,0.0,1.64,0.06,1.71,1.51
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.45,0.0,1.67,0.06,1.68,1.88
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.67,0.0,1.77,0.14,1.58,2.17
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.69,0.07,2.02,0.32,1.15,2.3
1,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.54,0.58,0.09,2.08,0.32,1.0,2.26
1,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.53,0.5,0.09,1.9,0.19,0.72,2.14
1,0.18,0.25,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.03,1.38,0.05,0.72,1.78
1,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.22,0.53,0.0,0.9,0.05,0.39,1.42
