 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.05,0.0,0.05,0.06,0.06,0.0,0.0,0.04,0.37,0.08,1.05,0.01,0.31,2.1
1,0.0,0.0,0.05,0.33,0.06,0.0,0.0,0.04,0.31,0.0,0.73,0.0,0.26,2.29
1,0.0,0.0,0.25,0.42,0.06,0.0,0.0,0.04,0.33,0.0,0.65,0.0,0.41,2.5
1,0.0,0.0,0.54,0.69,0.0,0.0,0.0,0.0,0.13,0.0,0.62,0.0,0.29,2.69
1,0.0,0.0,0.86,0.56,0.0,0.0,0.0,0.0,0.09,0.0,0.62,0.0,0.22,2.72
1,0.0,0.0,1.05,0.47,0.0,0.0,0.0,0.0,0.01,0.0,0.53,0.0,0.06,2.61
1,0.0,0.02,0.75,0.57,0.0,0.0,0.0,0.0,0.01,0.09,0.64,0.0,0.2,2.46
1,0.07,0.33,0.43,0.86,0.0,0.0,0.0,0.0,0.0,0.15,0.81,0.0,0.44,2.51
1,0.36,0.78,0.04,1.37,0.0,0.0,0.0,0.0,0.0,0.26,0.93,0.0,0.75,2.71
1,0.44,1.09,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.33,0.91,0.01,0.97,2.91
1,0.43,1.09,0.05,1.77,0.0,0.0,0.0,0.0,0.0,0.27,0.85,0.03,1.12,2.88
1,0.2,0.95,0.07,1.74,0.0,0.0,0.0,0.0,0.0,0.16,0.82,0.14,1.14,2.81
1,0.15,0.88,0.09,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.21,1.1,2.81
1,0.09,0.74,0.04,1.36,0.0,0.0,0.0,0.0,0.0,0.04,0.91,0.22,1.06,2.94
1,0.06,0.72,0.04,1.16,0.0,0.0,0.0,0.0,0.0,0.1,1.07,0.18,0.89,2.95
1,0.05,0.58,0.12,0.79,0.0,0.0,0.0,0.0,0.0,0.12,1.23,0.26,0.75,2.94
1,0.13,0.61,0.18,0.58,0.0,0.0,0.0,0.0,0.0,0.24,1.21,0.35,0.62,3.0
1,0.16,0.55,0.23,0.54,0.0,0.0,0.0,0.0,0.0,0.18,1.22,0.42,0.62,2.98
1,0.14,0.43,0.22,0.6,0.0,0.0,0.0,0.0,0.0,0.24,1.05,0.26,0.65,3.07
1,0.07,0.23,0.23,0.46,0.0,0.0,0.0,0.0,0.0,0.09,1.04,0.14,0.44,2.96
1,0.01,0.0,0.17,0.42,0.0,0.0,0.0,0.0,0.0,0.09,0.86,0.0,0.26,2.96
1,0.01,0.0,0.07,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.06,2.73
1,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.05,0.01,0.68,0.1,0.12,2.23
1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.05,0.01,0.64,0.13,0.12,1.77
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.4,0.13,0.31,1.34
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,0.02,0.31,1.24
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.0,0.53,1.29
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.0,0.34,1.17
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.06
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.83
1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.08,0.0,0.13,0.87
1,0.21,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.19,0.16,0.0,0.13,0.65
1,0.39,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.08,0.24,0.39,0.0,0.13,0.54
1,0.36,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.06,0.34,0.62,0.0,0.0,0.46
1,0.17,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.19,0.53,0.76,0.04,0.0,0.47
1,0.19,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.24,0.8,0.57,0.04,0.0,0.52
1,0.32,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.3,0.99,0.63,0.04,0.0,0.31
1,0.54,0.0,0.0,0.16,0.01,0.08,0.0,0.0,0.41,0.97,0.83,0.0,0.0,0.23
1,0.65,0.09,0.0,0.16,0.0,0.13,0.0,0.0,0.36,0.94,1.12,0.0,0.08,0.03
1,0.88,0.18,0.0,0.08,0.06,0.17,0.0,0.01,0.39,0.83,1.18,0.0,0.33,0.04
1,0.91,0.18,0.0,0.0,0.06,0.17,0.04,0.01,0.29,0.88,1.15,0.0,0.47,0.04
1,1.02,0.28,0.0,0.24,0.07,0.14,0.07,0.01,0.35,0.99,1.17,0.0,0.53,0.04
1,0.66,0.2,0.18,0.48,0.01,0.09,0.07,0.0,0.41,0.75,0.82,0.01,0.52,0.0
1,0.49,0.2,0.37,0.69,0.01,0.02,0.04,0.0,0.32,0.44,0.46,0.01,0.65,0.0
1,0.25,0.0,0.57,0.64,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.02,0.86,0.0
1,0.35,0.0,0.56,0.4,0.0,0.05,0.0,0.0,0.16,0.01,0.06,0.03,0.88,0.0
1,0.4,0.0,0.46,0.19,0.0,0.06,0.0,0.0,0.21,0.09,0.07,0.08,0.94,0.08
1,0.38,0.0,0.38,0.0,0.0,0.12,0.0,0.0,0.34,0.09,0.09,0.06,0.85,0.08
1,0.46,0.0,0.32,0.08,0.0,0.13,0.0,0.0,0.3,0.13,0.07,0.05,0.88,0.08
1,0.44,0.0,0.29,0.17,0.0,0.13,0.0,0.0,0.29,0.16,0.08,0.0,0.74,0.13
1,0.43,0.14,0.23,0.17,0.0,0.13,0.0,0.0,0.2,0.25,0.16,0.0,0.65,0.17
1,0.35,0.32,0.24,0.16,0.0,0.13,0.0,0.0,0.2,0.33,0.28,0.08,0.73,0.37
1,0.28,0.34,0.29,0.13,0.0,0.12,0.0,0.0,0.23,0.4,0.37,0.08,0.7,0.44
