 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.66,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.86,0.0,0.61,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.96,0.14,0.65,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.81,0.14,0.83,0.0,0.0,0.0
1,0.0,0.09,0.0,0.0,0.0,0.03,0.0,0.02,0.69,0.24,1.04,0.0,0.0,0.11
1,0.0,0.09,0.0,0.0,0.0,0.1,0.0,0.02,0.66,0.22,1.2,0.0,0.0,0.37
1,0.0,0.09,0.0,0.0,0.0,0.17,0.0,0.01,0.83,0.41,1.29,0.0,0.0,0.48
1,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.91,0.41,1.18,0.0,0.0,0.65
1,0.0,0.05,0.0,0.0,0.0,0.12,0.0,0.0,0.9,0.54,1.08,0.0,0.0,0.42
1,0.0,0.05,0.0,0.11,0.0,0.19,0.0,0.0,0.9,0.62,1.0,0.0,0.0,0.5
1,0.0,0.1,0.0,0.11,0.0,0.2,0.0,0.0,0.91,0.81,0.97,0.0,0.0,0.33
1,0.0,0.05,0.0,0.11,0.0,0.2,0.0,0.0,0.93,0.56,0.99,0.0,0.0,0.52
1,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.69,0.29,1.11,0.0,0.0,0.49
1,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.56,0.0,1.18,0.0,0.0,0.5
1,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.51,0.0,1.28,0.0,0.0,0.3
1,0.01,0.1,0.0,0.31,0.0,0.0,0.0,0.0,0.53,0.0,1.19,0.0,0.0,0.17
1,0.04,0.1,0.0,0.22,0.0,0.0,0.0,0.0,0.41,0.0,1.23,0.0,0.0,0.15
1,0.04,0.18,0.0,0.27,0.0,0.0,0.0,0.0,0.29,0.0,1.1,0.0,0.0,0.21
1,0.09,0.12,0.0,0.38,0.0,0.0,0.0,0.0,0.16,0.0,1.16,0.0,0.0,0.22
1,0.05,0.16,0.0,0.43,0.0,0.0,0.0,0.0,0.13,0.0,1.17,0.0,0.0,0.13
1,0.05,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.09,0.0,1.29,0.0,0.0,0.05
1,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.0,1.34,0.0,0.0,0.0
1,0.05,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.0,1.33,0.0,0.0,0.0
1,0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.39,0.07,0.0,0.18
1,0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,1.2,0.23,0.0,0.26
1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,1.07,0.35,0.0,0.37
1,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.0,0.31,0.0,0.24
1,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.26,0.15,0.0,0.16
1,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.74,0.0,1.44,0.03,0.0,0.05
1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,1.48,0.0,0.0,0.0
1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.39,0.07,0.0,0.0
