 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.09,0.0,0.13,0.0,0.0,0.09,0.0,0.49,1.34,0.63,0.68,0.0,0.26,0.0
1,0.23,0.12,0.33,0.0,0.0,0.08,0.26,0.69,1.67,0.21,0.62,0.0,0.21,0.02
1,0.21,0.12,0.31,0.05,0.0,0.06,0.41,0.73,1.78,0.0,0.57,0.0,0.15,0.02
1,0.1,0.09,0.2,0.05,0.0,0.13,0.46,0.69,1.65,0.0,0.49,0.0,0.12,0.0
1,0.01,0.0,0.1,0.05,0.0,0.15,0.34,0.67,1.52,0.0,0.41,0.0,0.05,0.0
1,0.0,0.0,0.17,0.0,0.0,0.21,0.37,0.69,1.51,0.0,0.38,0.0,0.07,0.02
1,0.0,0.0,0.19,0.0,0.0,0.19,0.34,0.61,1.49,0.0,0.45,0.0,0.14,0.07
1,0.0,0.0,0.21,0.0,0.0,0.17,0.28,0.59,1.45,0.06,0.49,0.0,0.25,0.12
1,0.02,0.0,0.14,0.0,0.0,0.11,0.09,0.58,1.25,0.16,0.5,0.0,0.36,0.11
1,0.05,0.0,0.12,0.03,0.0,0.06,0.04,0.64,1.15,0.18,0.43,0.0,0.39,0.06
1,0.05,0.0,0.14,0.03,0.0,0.06,0.04,0.63,1.08,0.12,0.43,0.0,0.42,0.0
1,0.03,0.0,0.16,0.09,0.0,0.14,0.04,0.5,0.89,0.03,0.41,0.0,0.39,0.0
1,0.0,0.0,0.16,0.06,0.0,0.16,0.0,0.4,0.76,0.0,0.45,0.0,0.26,0.0
1,0.0,0.0,0.16,0.14,0.0,0.22,0.0,0.31,0.64,0.0,0.37,0.0,0.12,0.0
1,0.0,0.0,0.17,0.09,0.0,0.17,0.0,0.34,0.74,0.02,0.35,0.0,0.0,0.0
1,0.0,0.0,0.14,0.09,0.0,0.14,0.0,0.32,0.84,0.06,0.39,0.0,0.0,0.0
1,0.0,0.0,0.14,0.01,0.0,0.04,0.0,0.33,0.91,0.13,0.46,0.0,0.05,0.0
1,0.01,0.0,0.19,0.01,0.0,0.0,0.0,0.31,0.93,0.18,0.52,0.0,0.06,0.0
1,0.05,0.0,0.21,0.01,0.0,0.0,0.0,0.3,0.88,0.17,0.6,0.0,0.06,0.0
1,0.11,0.0,0.3,0.05,0.0,0.0,0.0,0.3,0.84,0.1,0.69,0.0,0.01,0.0
1,0.1,0.0,0.35,0.04,0.0,0.0,0.0,0.32,0.98,0.1,0.76,0.0,0.0,0.0
1,0.06,0.0,0.41,0.04,0.0,0.01,0.0,0.32,0.88,0.1,0.72,0.0,0.0,0.0
1,0.07,0.0,0.36,0.0,0.0,0.04,0.0,0.3,0.8,0.11,0.69,0.0,0.04,0.0
1,0.07,0.0,0.25,0.0,0.0,0.04,0.0,0.19,0.39,0.05,0.65,0.0,0.31,0.0
1,0.1,0.0,0.12,0.07,0.0,0.03,0.0,0.12,0.3,0.02,0.63,0.0,0.47,0.0
1,0.03,0.0,0.02,0.07,0.0,0.0,0.0,0.09,0.11,0.0,0.63,0.0,0.57,0.0
1,0.03,0.0,0.0,0.1,0.0,0.0,0.0,0.08,0.14,0.02,0.67,0.0,0.47,0.0
1,0.01,0.0,0.0,0.14,0.0,0.0,0.0,0.06,0.11,0.02,0.64,0.0,0.54,0.0
1,0.04,0.0,0.0,0.18,0.0,0.0,0.0,0.02,0.13,0.06,0.57,0.0,0.63,0.0
1,0.06,0.0,0.0,0.15,0.0,0.0,0.0,0.04,0.2,0.04,0.43,0.0,0.64,0.0
1,0.05,0.0,0.02,0.04,0.0,0.0,0.0,0.11,0.16,0.07,0.35,0.0,0.64,0.0
1,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.17,0.11,0.2,0.36,0.0,0.61,0.0
1,0.1,0.01,0.02,0.0,0.0,0.0,0.0,0.19,0.1,0.3,0.42,0.0,0.63,0.0
1,0.19,0.01,0.05,0.0,0.0,0.0,0.0,0.19,0.12,0.35,0.39,0.0,0.59,0.0
1,0.28,0.01,0.09,0.0,0.0,0.0,0.0,0.2,0.18,0.3,0.35,0.0,0.57,0.0
