 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.27,0.23,0.0,0.0,1.03,0.37,0.08,1.02,0.0,0.52,0.0,0.0,0.0
1,0.18,0.34,0.55,0.0,0.0,1.04,0.43,0.26,1.1,0.13,0.44,0.0,0.0,0.0
1,0.18,0.31,0.62,0.0,0.0,1.14,0.43,0.36,1.25,0.3,0.29,0.0,0.0,0.0
1,0.0,0.22,0.36,0.0,0.05,1.22,0.37,0.36,1.34,0.22,0.23,0.0,0.0,0.0
1,0.1,0.24,0.25,0.0,0.05,1.2,0.32,0.37,1.53,0.32,0.19,0.0,0.0,0.0
1,0.1,0.25,0.16,0.0,0.05,1.18,0.28,0.43,1.56,0.19,0.18,0.0,0.0,0.0
1,0.16,0.41,0.35,0.0,0.09,1.22,0.36,0.48,1.53,0.33,0.22,0.0,0.0,0.0
1,0.06,0.48,0.32,0.0,0.09,1.19,0.32,0.53,1.46,0.39,0.3,0.0,0.0,0.0
1,0.06,0.46,0.35,0.0,0.09,1.18,0.24,0.46,1.22,0.55,0.37,0.0,0.0,0.0
1,0.02,0.42,0.43,0.0,0.01,1.19,0.19,0.43,1.39,0.59,0.57,0.0,0.0,0.0
1,0.02,0.25,0.7,0.0,0.02,1.21,0.25,0.39,1.42,0.48,0.73,0.0,0.0,0.0
1,0.16,0.2,0.75,0.0,0.02,0.86,0.24,0.28,1.3,0.4,0.95,0.0,0.0,0.05
1,0.14,0.0,0.59,0.0,0.01,0.49,0.09,0.13,0.96,0.25,0.79,0.0,0.04,0.05
1,0.14,0.0,0.26,0.0,0.0,0.21,0.0,0.0,0.61,0.22,0.58,0.0,0.1,0.05
1,0.17,0.0,0.3,0.0,0.0,0.18,0.0,0.0,0.69,0.3,0.41,0.0,0.17,0.0
1,0.19,0.0,0.36,0.0,0.0,0.2,0.0,0.0,0.72,0.42,0.44,0.0,0.15,0.0
1,0.19,0.0,0.42,0.0,0.0,0.22,0.0,0.0,0.77,0.44,0.47,0.0,0.1,0.0
1,0.12,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.82,0.38,0.51,0.0,0.03,0.11
1,0.22,0.0,0.43,0.0,0.0,0.39,0.0,0.0,0.82,0.36,0.48,0.0,0.01,0.24
1,0.26,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.76,0.35,0.5,0.0,0.01,0.32
1,0.16,0.0,0.34,0.0,0.0,0.28,0.0,0.0,0.73,0.34,0.44,0.0,0.08,0.26
1,0.04,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.7,0.21,0.44,0.0,0.08,0.21
1,0.0,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.72,0.12,0.52,0.0,0.09,0.13
1,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.0,0.94,0.0,0.51,0.0,0.1,0.3
1,0.02,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.11,0.05,0.51,0.0,0.1,0.5
1,0.13,0.0,0.24,0.0,0.0,0.0,0.0,0.0,1.46,0.11,0.43,0.0,0.19,0.61
1,0.43,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1.45,0.24,0.33,0.0,0.31,0.56
1,0.6,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.56,0.3,0.21,0.0,0.44,0.39
1,0.59,0.06,0.62,0.0,0.0,0.0,0.0,0.0,1.5,0.28,0.16,0.0,0.45,0.52
1,0.35,0.06,0.52,0.0,0.0,0.0,0.0,0.0,1.5,0.25,0.23,0.0,0.35,0.55
1,0.17,0.06,0.48,0.0,0.0,0.0,0.0,0.03,1.39,0.33,0.38,0.0,0.27,0.68
1,0.07,0.0,0.29,0.0,0.0,0.0,0.0,0.05,1.37,0.51,0.43,0.0,0.27,0.65
1,0.06,0.0,0.22,0.0,0.0,0.0,0.0,0.06,1.25,0.62,0.52,0.0,0.27,0.64
1,0.17,0.03,0.22,0.0,0.0,0.0,0.0,0.04,1.23,0.63,0.48,0.0,0.35,0.6
1,0.29,0.03,0.29,0.0,0.0,0.02,0.0,0.02,1.13,0.58,0.53,0.0,0.4,0.57
1,0.33,0.03,0.42,0.0,0.0,0.04,0.0,0.0,1.26,0.38,0.7,0.01,0.41,0.6
1,0.27,0.0,0.54,0.0,0.0,0.08,0.0,0.0,1.04,0.22,0.84,0.01,0.41,0.64
1,0.22,0.0,0.55,0.0,0.0,0.06,0.0,0.0,1.0,0.04,0.88,0.01,0.36,0.64
1,0.18,0.0,0.55,0.0,0.0,0.04,0.0,0.0,0.92,0.12,0.85,0.0,0.32,0.77
1,0.14,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.07,0.09,0.79,0.0,0.31,0.85
1,0.21,0.0,0.67,0.0,0.0,0.0,0.04,0.03,1.18,0.09,1.03,0.0,0.39,1.14
1,0.15,0.0,0.72,0.0,0.0,0.03,0.07,0.03,1.14,0.0,1.1,0.0,0.42,1.13
1,0.26,0.0,0.79,0.0,0.0,0.07,0.07,0.03,1.12,0.0,1.33,0.0,0.3,1.29
1,0.14,0.0,0.84,0.0,0.0,0.14,0.02,0.0,0.98,0.0,1.24,0.0,0.11,1.13
1,0.29,0.0,0.85,0.0,0.0,0.11,0.0,0.0,0.96,0.0,1.42,0.0,0.02,0.92
1,0.33,0.0,0.87,0.0,0.0,0.07,0.0,0.0,1.15,0.0,1.51,0.0,0.0,0.72
1,0.46,0.0,0.92,0.0,0.0,0.0,0.05,0.0,1.46,0.03,1.7,0.06,0.0,0.66
1,0.44,0.0,0.68,0.0,0.0,0.0,0.13,0.0,1.34,0.28,1.96,0.14,0.02,1.21
1,0.28,0.0,0.42,0.0,0.0,0.0,0.17,0.0,1.1,0.45,2.18,0.16,0.02,1.57
1,0.41,0.05,0.12,0.0,0.0,0.0,0.18,0.01,0.81,0.59,2.32,0.1,0.02,1.95
1,0.62,0.19,0.11,0.0,0.0,0.0,0.11,0.03,0.97,0.51,2.14,0.02,0.22,1.83
1,0.99,0.52,0.1,0.0,0.0,0.0,0.08,0.11,1.0,0.39,2.11,0.06,0.25,1.73
1,1.04,0.61,0.11,0.0,0.0,0.0,0.03,0.1,0.93,0.39,1.98,0.06,0.39,1.75
1,1.22,0.71,0.35,0.0,0.0,0.03,0.09,0.09,0.87,0.22,1.95,0.06,0.53,1.66
1,1.14,0.63,0.45,0.0,0.0,0.03,0.07,0.02,0.82,0.31,1.79,0.0,0.89,1.68
1,1.23,0.59,0.5,0.0,0.0,0.03,0.07,0.02,0.63,0.21,1.68,0.0,0.99,1.37
1,1.09,0.56,0.57,0.0,0.0,0.0,0.0,0.0,0.42,0.29,1.71,0.0,0.9,1.38
1,1.17,0.52,0.89,0.0,0.0,0.0,0.0,0.0,0.15,0.14,1.61,0.0,0.89,1.27
1,1.48,0.85,0.98,0.0,0.0,0.0,0.0,0.0,0.1,0.46,1.55,0.0,0.94,1.24
1,1.7,0.99,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.49,1.47,0.0,1.01,1.16
1,1.75,0.93,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.46,0.0,0.94,1.1
1,1.44,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.53,0.0,0.88,1.18
1,1.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.61,0.0,0.71,1.08
1,0.79,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.76,0.0,0.56,1.03
1,0.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.81,0.0,0.51,0.81
1,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.88,0.0,0.57,0.74
1,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.35,1.84,0.0,0.65,0.84
1,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.28,1.79,0.0,0.83,1.16
1,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.18,1.55,0.0,0.76,1.43
1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,1.49,0.0,0.62,1.47
1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.2,1.62,0.0,0.54,1.48
1,0.59,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.07,0.15,1.83,0.0,0.63,1.65
1,0.46,0.0,0.01,0.0,0.0,0.0,0.04,0.12,0.2,0.09,2.16,0.0,0.8,2.05
1,0.14,0.0,0.13,0.0,0.0,0.0,0.15,0.0,0.27,0.04,2.28,0.0,0.98,2.37
1,0.16,0.03,0.13,0.0,0.0,0.0,0.18,0.0,0.37,0.04,2.31,0.0,1.17,2.25
1,0.16,0.09,0.28,0.0,0.0,0.0,0.21,0.0,0.38,0.02,2.12,0.0,1.02,1.89
1,0.38,0.43,0.31,0.0,0.0,0.0,0.28,0.01,0.46,0.0,2.07,0.0,0.65,1.46
1,0.41,0.58,0.31,0.0,0.0,0.01,0.23,0.08,0.39,0.0,1.68,0.0,0.38,1.25
1,0.66,1.06,0.19,0.0,0.0,0.11,0.19,0.15,0.46,0.16,1.27,0.04,0.59,0.97
1,0.72,1.32,0.16,0.0,0.0,0.12,0.13,0.22,0.55,0.34,0.76,0.18,0.81,0.96
1,0.94,1.63,0.29,0.0,0.0,0.11,0.2,0.23,0.76,0.35,0.84,0.28,0.92,0.7
1,0.88,1.48,0.36,0.0,0.0,0.02,0.41,0.29,0.98,0.25,0.86,0.35,0.81,0.61
1,0.79,1.15,0.43,0.0,0.0,0.04,0.44,0.27,1.23,0.23,0.92,0.21,0.74,0.24
1,0.5,0.66,0.3,0.17,0.0,0.04,0.36,0.19,1.35,0.22,0.55,0.11,0.53,0.12
1,0.25,0.26,0.2,0.17,0.0,0.03,0.15,0.06,1.36,0.17,0.3,0.0,0.28,0.07
1,0.06,0.0,0.01,0.2,0.0,0.0,0.0,0.0,1.31,0.0,0.13,0.12,0.06,0.14
1,0.05,0.0,0.02,0.04,0.0,0.0,0.0,0.0,1.34,0.0,0.21,0.19,0.02,0.25
1,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,1.45,0.0,0.19,0.38,0.09,0.17
1,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,1.47,0.0,0.13,0.33,0.09,0.25
1,0.08,0.02,0.15,0.0,0.0,0.2,0.0,0.0,1.52,0.0,0.07,0.27,0.07,0.45
1,0.13,0.18,0.31,0.0,0.0,0.27,0.0,0.0,1.52,0.0,0.11,0.16,0.01,0.68
1,0.14,0.28,0.34,0.0,0.0,0.2,0.0,0.0,1.52,0.0,0.15,0.19,0.01,0.86
1,0.12,0.36,0.44,0.0,0.0,0.13,0.0,0.0,1.51,0.0,0.18,0.23,0.01,0.84
1,0.19,0.29,0.44,0.0,0.0,0.14,0.0,0.0,1.43,0.0,0.21,0.25,0.03,0.9
1,0.23,0.26,0.41,0.0,0.0,0.15,0.0,0.0,1.39,0.0,0.29,0.2,0.03,0.71
1,0.17,0.16,0.28,0.15,0.0,0.1,0.0,0.0,1.05,0.09,0.24,0.16,0.31,0.43
1,0.05,0.07,0.12,0.15,0.0,0.03,0.0,0.0,0.77,0.09,0.16,0.06,0.63,0.13
1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.49,0.09,0.0,0.0,0.95,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,0.01
1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.98,0.02
1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.03,0.05
1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.99,0.05
1,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,1.03,0.08
1,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.95,0.06
1,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.97,0.04
1,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.01,0.86,0.0
1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.02,0.87,0.0
1,0.13,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.02,0.92,0.01
1,0.32,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03,0.01,0.9,0.02
1,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.03,0.0,0.87,0.12
1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.79,0.18
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.77,0.18
1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.8,0.17
1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.82,0.23
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.84,0.22
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.84,0.22
1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.86,0.15
1,0.11,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.53,0.0,0.0,0.0,0.89,0.15
1,0.05,0.0,0.04,0.08,0.0,0.01,0.0,0.0,0.6,0.0,0.0,0.02,0.83,0.06
1,0.29,0.06,0.12,0.08,0.0,0.01,0.0,0.0,0.64,0.11,0.0,0.24,0.78,0.0
1,0.4,0.06,0.12,0.08,0.0,0.0,0.0,0.0,0.77,0.26,0.07,0.38,0.78,0.0
